date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PCOS-M31,COS-MGR-BRV,0,0,150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PC.BOD21,C.BODE,0,2,218.6,0.0,0.0,-15.9,-24.4,0.0,-53.0,16.0,-27.0,,,,,
2007-05-01,PT,PC.BOD22,C.BODE,0,2,218.6,0.0,0.0,0.1,-24.9,0.0,-53.0,16.0,-27.0,,,,,
2007-05-01,PT,PC.BOD23,C.BODE,0,0,218.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PMIRAN21,MIRANDA,0,2,220.0,0.0,0.0,0.2,2.0,0.0,-249.0,84.0,-124.0,,,,,
2007-05-01,PT,PBEMPO21,BEMPOSTA,0,2,220.0,0.0,0.0,0.2,23.2,0.0,-160.0,54.0,-50.0,,,,,
2007-05-01,PT,PTG-CN21,TG-CN-EJ,0,0,219.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PVALEI21,VALEIRA,0,2,220.0,0.0,0.0,-79.5,20.8,0.0,-160.0,68.0,-62.0,,,,,
2007-05-01,PT,PAGUIE21,AGUIEIRA,0,2,220.0,0.0,0.0,0.3,-36.6,184.0,-224.0,92.0,-88.0,,,,,
2007-05-01,PT,PC.POC21,C.POCINHO,0,2,220.0,0.0,0.0,-61.5,-1.8,0.0,-124.0,20.0,-20.0,,,,,
2007-05-01,PT,PPI-VG21,PI-VG-AMM,0,0,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PB.SAB21,B.SABOR,0,2,220.0,0.0,0.0,0.0,0.7,77.0,-77.0,47.0,-39.0,,,,,
2007-05-01,PT,PPR-RM21,PR-RM2-PB,0,0,218.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFN-AM21,FN-AM3-CH,0,0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PAM-CH21,AM-CH-TJ,0,0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRR-VM21,RR-VM2-ED,0,0,220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
